work_year,experience_level,job_title,salary_in_usd,company_location,job_category,title_enc,country_enc,level_enc,category_enc
2024,Executive,Business Intelligence,230000,United States,Analytics and BI,18,80,1,0
2024,Executive,Business Intelligence,176900,United States,Analytics and BI,18,80,1,0
2024,Senior,Data Engineer,276000,United States,Data Engineering,39,80,3,2
2024,Senior,Data Engineer,148000,United States,Data Engineering,39,80,3,2
2024,Senior,Research Scientist,234000,United States,Research and Science,98,80,3,9
2024,Senior,Research Scientist,146000,United States,Research and Science,98,80,3,9
2024,Entry-level,Business Intelligence Analyst,192300,United States,Analytics and BI,19,80,0,0
2024,Entry-level,Business Intelligence Analyst,120200,United States,Analytics and BI,19,80,0,0
2024,Entry-level,Analytics Engineer,132500,United States,Analytics and BI,7,80,0,0
2024,Entry-level,Analytics Engineer,111500,United States,Analytics and BI,7,80,0,0
2024,Entry-level,Data Engineer,234000,United States,Data Engineering,39,80,0,2
2024,Entry-level,Data Engineer,146000,United States,Data Engineering,39,80,0,2
2024,Senior,Data Scientist,322000,United States,Data Science and AI,52,80,3,3
2024,Senior,Data Scientist,168000,United States,Data Science and AI,52,80,3,3
2024,Mid-level,Data Scientist,152000,Canada,Data Science and AI,52,11,2,3
2024,Mid-level,Data Scientist,98000,Canada,Data Science and AI,52,11,2,3
2024,Senior,Research Engineer,138000,United States,Research and Science,97,80,3,9
2024,Senior,Research Engineer,86000,United States,Research and Science,97,80,3,9
2024,Senior,Data Analyst,115000,United States,Analytics and BI,30,80,3,0
2024,Senior,Data Analyst,105000,United States,Analytics and BI,30,80,3,0
2024,Senior,Data Scientist,100000,United Kingdom,Data Science and AI,52,79,3,3
2024,Senior,Data Scientist,87500,United Kingdom,Data Science and AI,52,79,3,3
2024,Senior,Business Intelligence Engineer,156476,United States,Analytics and BI,22,80,3,0
2024,Senior,Business Intelligence Engineer,104981,United States,Analytics and BI,22,80,3,0
2024,Mid-level,Data Engineer,146000,United States,Data Engineering,39,80,2,2
2024,Mid-level,Data Engineer,110000,United States,Data Engineering,39,80,2,2
2024,Senior,Data Scientist,297000,United States,Data Science and AI,52,80,3,3
2024,Senior,Data Scientist,138000,United States,Data Science and AI,52,80,3,3
2024,Mid-level,Machine Learning Engineer,160480,United States,Data Science and AI,75,80,2,3
2024,Mid-level,Machine Learning Engineer,109920,United States,Data Science and AI,75,80,2,3
2024,Senior,Data Engineer,224000,United States,Data Engineering,39,80,3,2
2024,Senior,Data Engineer,150000,United States,Data Engineering,39,80,3,2
2024,Entry-level,Data Analyst,84000,United States,Analytics and BI,30,80,0,0
2024,Entry-level,Data Analyst,75800,United States,Analytics and BI,30,80,0,0
2024,Mid-level,Business Intelligence,207600,United States,Analytics and BI,18,80,2,0
2024,Mid-level,Business Intelligence,138400,United States,Analytics and BI,18,80,2,0
2024,Entry-level,Data Analyst,94600,United States,Analytics and BI,30,80,0,0
2024,Entry-level,Data Analyst,75700,United States,Analytics and BI,30,80,0,0
2024,Senior,Data Scientist,190000,United States,Data Science and AI,52,80,3,3
